,rbfsvm,lightgbm,gbc
peptide_1,0.4198035957509513,0.3586484747358977,0.296896139585167
peptide_2,0.31519472859683956,0.016292800490342416,0.18456657911333965
peptide_3,0.27967870933582534,0.16033471154180912,0.3521125311353299
peptide_4,0.361904048739153,0.1415969275203834,0.1682719374851067
peptide_5,0.15203909462235388,0.09580954738502648,0.0730494941475373
peptide_6,0.3378725104759717,0.02235877015585357,0.2773508256798545
peptide_7,0.23475695904812605,0.15960462952312804,0.23401916401976475
peptide_8,0.27081355982689415,0.017404387434319914,0.19792606161919232
peptide_9,0.27026877401174054,0.05487611819111535,0.1490118306570147
peptide_10,0.1812732200673559,0.017822912319309454,0.19509927707948527
peptide_11,0.08214671089517128,0.3842708072062233,0.25240166549113563
peptide_12,0.1391086939799026,0.021880077166240627,0.08413424911604415
peptide_13,0.08933102130975425,0.0692649780402424,0.12174894360352442
peptide_14,0.13935691930851607,0.010373838297087847,0.17475896892190115
peptide_15,0.04337154787458014,0.020569901145716312,0.26149161739299387
peptide_16,0.23950908500400084,0.06226184095385908,0.3497902685345651
peptide_17,0.0908372269545764,0.027036883375666756,0.12260608166344382
peptide_18,0.053652859159290106,0.03344536903643262,0.2040443565174476
peptide_19,0.07942946726498223,0.02059737950092517,0.1919324262674171
peptide_20,0.17468620077974142,0.07842044144732431,0.32407581226014914
peptide_21,0.11657510918987835,0.03140591038138314,0.1506617100098289
peptide_22,0.04016407669176036,0.013450797631762181,0.09507160357573431
peptide_23,0.14234365827697515,0.020660407601673886,0.1879738951538153
peptide_24,0.2632302226951103,0.11813156490891857,0.2941519659571368
peptide_25,0.07090417309718615,0.03259941889571352,0.13150905177820915
peptide_26,0.19358705986802277,0.03449652928662329,0.16330373529930692
peptide_27,0.0513514137099969,0.03467739193072118,0.06924954626947961
peptide_28,0.10137105216371278,0.02404859174059235,0.20471959954838262
peptide_29,0.06921926435795338,0.025273469317872364,0.11499360587721445
peptide_30,0.09896795770057393,0.1858582480639042,0.23159902364744073
peptide_31,0.2830303902510869,0.21815278314725797,0.4249880028268707
peptide_32,0.11920935817265131,0.07909643850571568,0.1815242270884125
peptide_33,0.1668025055103069,0.16100737607898247,0.2208672998880469
peptide_34,0.11879529757007387,0.04710793875223537,0.3236245880173738
peptide_35,0.8248138862200133,0.7905618184145676,0.6157613134135304
peptide_36,0.2874013195571489,0.040997037959351446,0.22493196343142172
peptide_37,0.036826675708570365,0.012078509013023033,0.16382397834034462
peptide_38,0.07970305878864917,0.14225317458863906,0.20282576972922065
peptide_39,0.2145454131109855,0.1442411286201329,0.3134061863453576
peptide_40,0.5617787688453519,0.7809540103474794,0.5846052763242391
peptide_41,0.6035983233175212,0.6813483667514362,0.5563513366665894
peptide_42,0.4312289510497637,0.5775150254212842,0.40825011299106817
peptide_43,0.15928018823283177,0.11422948413531699,0.41199401016873816
peptide_44,0.6960322711591643,0.898172996067766,0.4405129883214603
peptide_45,0.1297480922155345,0.10793246395150972,0.05994222574077185
peptide_46,0.26622241281777015,0.22483707646186116,0.2700040339134703
peptide_47,0.17318036527717912,0.19552856243422184,0.26067496175658855
peptide_48,0.1062746053316827,0.012702071958786625,0.12859474130713416
peptide_49,0.34128041587694974,0.18096977416370152,0.46580347515574744
peptide_50,0.18518982578700285,0.14457992636047312,0.3286039647308642
peptide_51,0.12215520072758353,0.026495455799089056,0.3558333731476383
peptide_52,0.17241313163197444,0.07721252720665137,0.3165845652203948
peptide_53,0.22321876883184322,0.045136778940915785,0.28523617069321305
peptide_54,0.08537693338441628,0.07652921188991244,0.25492346010507494
peptide_55,0.3779352100494476,0.684456897397354,0.5575482524924372
peptide_56,0.10347006898543817,0.33987014812372107,0.30231774469242806
peptide_57,0.21611201312319192,0.04902309762258143,0.5047872041438731
peptide_58,0.3615870805695389,0.18779946646973336,0.07479092153046617
peptide_59,0.056841330583390276,0.012701083974693276,0.11611872981677428
peptide_60,0.19792035682372933,0.3173746560338221,0.4864169896480728
peptide_61,0.3675692493833616,0.8768237392752054,0.5580011447034827
peptide_62,0.18541051186372873,0.20113864729242228,0.42448349774146216
peptide_63,0.06177445600053199,0.01948806323359906,0.089818807061266
peptide_64,0.10930219462873894,0.04521683086177346,0.15141563067736122
peptide_65,0.11891328560662723,0.10164294836908226,0.2625683655359629
peptide_66,0.8074795156753162,0.9378213447382389,0.7975678868584278
peptide_67,0.1118168064084011,0.1047540541195983,0.1331986845167017
peptide_68,0.839357115211138,0.4630232867694278,0.5867232731583908
peptide_69,0.270582710018974,0.49293784235165455,0.5842136767290995
peptide_70,0.1415157565202504,0.02232651456106176,0.13887740302503437
peptide_71,0.06403623178538605,0.008902431015155157,0.05310352364813893
peptide_72,0.48098227873038585,0.40128534656289006,0.4959887427366813
peptide_73,0.12480703900224174,0.10548232378683774,0.35071713056169634
peptide_74,0.06461131781326789,0.3989879258110746,0.546293864542702
peptide_75,0.23947502226746473,0.19239387178013337,0.3691567906944102
peptide_76,0.14962111965820296,0.06709683590470873,0.2134184455187027
peptide_77,0.6927071683555914,0.6921838213582696,0.5625302770061523
peptide_78,0.4342036196056239,0.09056566171220562,0.42401053325689586
peptide_79,0.8337792765113382,0.5897360114765863,0.48104382754369457
peptide_80,0.26903939249680675,0.6612090170359967,0.6904971333916726
peptide_81,0.09379410301837966,0.04017349366202312,0.08827422655730695
peptide_82,0.2006812654281288,0.6792676621501524,0.6539671673425616
peptide_83,0.1442794015987922,0.17305413935341735,0.3806610978094381
peptide_84,0.23432905993285433,0.40894234688775266,0.4980493328788674
peptide_85,0.05015367325558178,0.01748587144587784,0.06701344444404833
peptide_86,0.14117608966422915,0.0974851268461675,0.26170975664758134
peptide_87,0.6835872151135477,0.2611194911794578,0.45734386866735266
peptide_88,0.2001045809306089,0.06834816181352846,0.20875355902972145
peptide_89,0.10038488931058673,0.2785897048314575,0.21434018280911382
peptide_90,0.44562646660506167,0.4401502777110681,0.520459930865693
peptide_91,0.42270453881322484,0.30419976831948103,0.5942678569229558
peptide_92,0.0688398511149901,0.3013763454501451,0.33330485236317936
peptide_93,0.8528359651838422,0.7677124788572407,0.49673606954705035
peptide_94,0.2746583322859196,0.08141075416818076,0.31284656683471146
peptide_95,0.06769075194451644,0.06820941421520216,0.16240226108427888
peptide_96,0.7246283341832871,0.8759267078073719,0.742836222439208
peptide_97,0.18811672014812594,0.27939076786242173,0.4741819796596671
peptide_98,0.1267593239271823,0.15724770277604833,0.2535724345482534
peptide_99,0.4067302808792664,0.746605775404669,0.6613027616734392
peptide_100,0.8130556869178721,0.820947150710896,0.663904010824101
peptide_101,0.054266599626098436,0.08477006051775454,0.24106419349969876
peptide_102,0.36655481760624503,0.39137407987724926,0.5407974135739427
peptide_103,0.8185700665228068,0.9445446799742458,0.8080400568043471
peptide_104,0.17799840418177035,0.43976676230789413,0.5119052765191172
peptide_105,0.9195678385854359,0.9843959152586537,0.6172765472700584
peptide_106,0.8320534071412927,0.8054269563108004,0.5727729646810542
peptide_107,0.12865310425759605,0.5259217316752436,0.17988823139551446
peptide_108,0.6571581963979717,0.8874913049986356,0.7783038672124383
peptide_109,0.6253866214902053,0.9397237640493625,0.6474176045754114
peptide_110,0.38720994538312786,0.08767745815643604,0.12877108234812448
peptide_111,0.12238177867682691,0.11124846394080429,0.2005588406010457
peptide_112,0.7728224818398973,0.8664702566893566,0.7881204574366657
peptide_113,0.8363272027289925,0.7954346303655909,0.7485519065670697
peptide_114,0.0884552662744638,0.04434540059075564,0.37247493990913344
peptide_115,0.7326230508579114,0.8747038351633054,0.7831967383790692
peptide_116,0.14919727601538885,0.3603622384079035,0.574342480002852
peptide_117,0.2372684769276711,0.07918073555424428,0.20034845175089025
peptide_118,0.6963122359791074,0.848359417739295,0.6279819695616914
peptide_119,0.891717177927143,0.9874552409336413,0.875014786198645
peptide_120,0.11536940026158185,0.11198443658227818,0.4811164599154478
peptide_121,0.19770925378114063,0.6411690220989635,0.30985308042973786
peptide_122,0.8952395152989582,0.9766365223428481,0.8493559321135993
peptide_123,0.6933459552657049,0.867832054900735,0.739698644337578
peptide_124,0.6196878919175585,0.9140460171070076,0.6920141600687354
peptide_125,0.24498733504885603,0.6682198984329971,0.5817989392565094
peptide_126,0.7336779406016383,0.8694375263920538,0.8413856050119545
peptide_127,0.5,0.969394986237778,0.6523683980968868
peptide_128,0.4548443516888006,0.7971872365742446,0.6505873611053645
peptide_129,0.06093386828974182,0.03860774773082555,0.2006093452331995
peptide_130,0.9232624917649159,0.7916500372817439,0.4991517293855442
peptide_131,0.508878855226707,0.25503934988913934,0.3688626852004572
