mean,scale
0.08006163590217515,0.08434608152513615
0.05694141554856562,0.08060834955939623
0.026892316512122875,0.04263126087136024
0.034228249464676626,0.052346277362432615
0.02775455766024933,0.06477773242230778
0.025012423117198382,0.04347159781911663
0.03880120329536358,0.061757407913569595
0.0705720594408539,0.06544807826694408
0.018327726974249694,0.036854126354715674
0.061036758173284536,0.06749752223531284
0.13903183110350767,0.1237442586240303
0.11807519400060594,0.1228335786126965
0.013839660675419063,0.027976488538503614
0.05136108735397198,0.06509018961159206
0.037248774132842825,0.051505522410270406
0.05245915800099718,0.060572398657145185
0.038647733124539195,0.05129591462512587
0.027886361468095748,0.055680905411658765
0.022121021133518996,0.039685452857235806
0.05970083291776168,0.05884243792776852
0.19359221882098707,0.1425030696027991
0.03194107749545816,0.04658695992493692
0.08024403438925588,0.07319435970334795
0.02810788820551253,0.04336873005157708
0.09062544510512305,0.0658264263451768
0.03939761064287344,0.05161856237713562
0.008760932233367392,0.028153793533508536
0.025862956026202085,0.04950656254619136
0.006298282683659439,0.019591799498960068
0.02245641470332292,0.04370593181945552
0.07674988292053733,0.06919669577890884
0.025490592525868085,0.04836044785493527
0.04560583274990979,0.06858540131923536
0.011986925523940576,0.028068542507087662
0.03226439348541687,0.044444952500557106
0.028133668332410083,0.04479907465648555
0.007543615598649958,0.024747044984180216
0.010760463735323824,0.026189975753246084
0.00934244084817189,0.03408138962260227
0.01658917541432127,0.03262884457783986
0.08619894555831055,0.06793677886304683
0.02568976545622859,0.04380397033158263
0.02976144042858989,0.04096842987249421
0.01823071733182363,0.03609012562510357
0.04836527978473568,0.07634329644165397
0.17076872901471027,0.14032497731956425
0.035016279431654994,0.04784900693035672
0.09370106086196699,0.09219656233565457
0.03230626671154871,0.051304129134813546
0.09319640149324958,0.0770082717159842
0.03300880166568362,0.04653981599946542
0.012063284807616129,0.04314877641973855
0.0307978842013966,0.054532035711741665
0.006422827726875475,0.021904413631519192
0.022159784373910446,0.03683362365661181
0.09985638580422901,0.10243494366822735
0.02521722690371755,0.05148850466889547
0.028419152455273693,0.05576954138093851
0.009259374894407176,0.024739675038718545
0.030226735148110563,0.044355871021883944
0.031229541577377885,0.04772334493737482
0.0066713993797735596,0.021230044393274746
0.009113757043912638,0.024652267455706908
0.00939044852217848,0.035423559561236447
0.015383077970225126,0.032246830019341845
0.08756715708206549,0.07123818402907997
0.018594434078056346,0.034766435212138944
0.032665706597455726,0.04880901033282183
0.017876238246013226,0.03498207424530193
0.04908804400859071,0.0845639326850271
0.20973541900322493,0.1595999028605636
0.03639783439958775,0.05088565864959647
0.06942249607356374,0.0664912061439591
0.0308095861741276,0.047749879938464045
0.0798791994602051,0.07533668097465351
0.03848729561291828,0.048105990325285
0.016434368078888713,0.0488374016663416
0.02388270621035872,0.04872745037154793
0.007149142470502148,0.02421559304912324
0.01912910237411665,0.03465595060514333
0.07003727828892019,0.06886538614720754
0.02183806381797533,0.04520148807124349
0.05072922478171367,0.0847765980512795
0.010369837059705907,0.027180715244911533
0.03695498387976611,0.048618690451813905
0.026709038570066086,0.04606036831355675
